state,station_name,nsn,item_name,quantity,ui,acquisition_value,demil_code,demil_ic,ship_date,station_type,org_ship_date,file_date,book_name,sheet_name
TX,AUSTIN POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,365,D,1,2012-03-20,,2012-03-20 00:00:00,2016-04-04,all-states,Texas
TX,AUSTIN POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,365,D,1,2012-03-20,,2012-03-20 00:00:00,2016-04-04,all-states,Texas
TX,AUSTIN POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,365,D,1,2012-03-20,,2012-03-20 00:00:00,2016-04-04,all-states,Texas
TX,AUSTIN POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,365,D,1,2012-03-20,,2012-03-20 00:00:00,2016-04-04,all-states,Texas
TX,AUSTIN POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,365,D,1,2012-03-20,,2012-03-20 00:00:00,2016-04-04,all-states,Texas
TX,AUSTIN POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,365,D,1,2010-09-22,,2010-09-22 00:00:00,2016-04-04,all-states,Texas
TX,AUSTIN POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,365,D,1,2010-09-22,,2010-09-22 00:00:00,2016-04-04,all-states,Texas
TX,AUSTIN POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,365,D,1,2010-09-22,,2010-09-22 00:00:00,2016-04-04,all-states,Texas
TX,AUSTIN POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,365,D,1,2010-09-22,,2010-09-22 00:00:00,2016-04-04,all-states,Texas
TX,AUSTIN POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,365,D,1,2010-09-22,,2010-09-22 00:00:00,2016-04-04,all-states,Texas
TX,AUSTIN POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,365,D,1,2010-09-22,,2010-09-22 00:00:00,2016-04-04,all-states,Texas
TX,AUSTIN POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,365,D,1,2010-09-22,,2010-09-22 00:00:00,2016-04-04,all-states,Texas
TX,AUSTIN POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,365,D,1,2010-09-22,,2010-09-22 00:00:00,2016-04-04,all-states,Texas
TX,AUSTIN POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,365,D,1,2010-09-22,,2010-09-22 00:00:00,2016-04-04,all-states,Texas
TX,AUSTIN POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,365,D,1,2010-09-22,,2010-09-22 00:00:00,2016-04-04,all-states,Texas
TX,AUSTIN POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,365,D,1,2010-09-22,,2010-09-22 00:00:00,2016-04-04,all-states,Texas
TX,AUSTIN POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,365,D,1,2010-09-22,,2010-09-22 00:00:00,2016-04-04,all-states,Texas
TX,AUSTIN POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,365,D,1,2010-09-22,,2010-09-22 00:00:00,2016-04-04,all-states,Texas
TX,AUSTIN POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,365,D,1,2010-09-22,,2010-09-22 00:00:00,2016-04-04,all-states,Texas
TX,AUSTIN POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,365,D,1,2010-09-22,,2010-09-22 00:00:00,2016-04-04,all-states,Texas
TX,AUSTIN POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,365,D,1,2010-09-22,,2010-09-22 00:00:00,2016-04-04,all-states,Texas
TX,AUSTIN POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,365,D,1,2010-09-22,,2010-09-22 00:00:00,2016-04-04,all-states,Texas
TX,AUSTIN POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,365,D,1,2010-11-16,,2010-11-16 00:00:00,2016-04-04,all-states,Texas
TX,AUSTIN POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,365,D,1,2010-11-16,,2010-11-16 00:00:00,2016-04-04,all-states,Texas
TX,AUSTIN POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,365,D,1,2010-11-16,,2010-11-16 00:00:00,2016-04-04,all-states,Texas
TX,AUSTIN POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,365,D,1,2010-11-16,,2010-11-16 00:00:00,2016-04-04,all-states,Texas
TX,AUSTIN POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,365,D,1,2012-01-24,,2012-01-24 00:00:00,2016-04-04,all-states,Texas
TX,AUSTIN POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,365,D,1,2012-01-24,,2012-01-24 00:00:00,2016-04-04,all-states,Texas
TX,AUSTIN POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,365,D,1,2012-01-24,,2012-01-24 00:00:00,2016-04-04,all-states,Texas
TX,AUSTIN POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,365,D,1,2012-01-24,,2012-01-24 00:00:00,2016-04-04,all-states,Texas
TX,AUSTIN POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,365,D,1,2012-01-24,,2012-01-24 00:00:00,2016-04-04,all-states,Texas
TX,AUSTIN POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,365,D,1,2010-11-16,,2010-11-16 00:00:00,2016-04-04,all-states,Texas
TX,AUSTIN POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,365,D,1,2010-11-16,,2010-11-16 00:00:00,2016-04-04,all-states,Texas
TX,AUSTIN POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,365,D,1,2010-11-16,,2010-11-16 00:00:00,2016-04-04,all-states,Texas
TX,AUSTIN POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,365,D,1,2010-11-16,,2010-11-16 00:00:00,2016-04-04,all-states,Texas
TX,AUSTIN POLICE DEPT,5963-01-532-7248,KVL3000 KEYLOADER,1,Each,2811,B,3,2013-04-12,,2013-04-12 00:00:00,2016-04-04,all-states,Texas
TX,AUSTIN POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,365,D,1,2010-09-22,,2010-09-22 00:00:00,2016-04-04,all-states,Texas
TX,AUSTIN POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,365,D,1,2009-10-23,,2009-10-23 00:00:00,2016-04-04,all-states,Texas
TX,AUSTIN POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,365,D,1,2009-10-23,,2009-10-23 00:00:00,2016-04-04,all-states,Texas
TX,AUSTIN POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,365,D,1,2009-10-23,,2009-10-23 00:00:00,2016-04-04,all-states,Texas
TX,AUSTIN POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,365,D,1,2009-10-23,,2009-10-23 00:00:00,2016-04-04,all-states,Texas
TX,AUSTIN POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,365,D,1,2009-10-23,,2009-10-23 00:00:00,2016-04-04,all-states,Texas
TX,AUSTIN POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,365,D,1,2009-10-23,,2009-10-23 00:00:00,2016-04-04,all-states,Texas
TX,AUSTIN POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,365,D,1,2009-10-23,,2009-10-23 00:00:00,2016-04-04,all-states,Texas
TX,AUSTIN POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,365,D,1,2009-10-23,,2009-10-23 00:00:00,2016-04-04,all-states,Texas
TX,AUSTIN POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,365,D,1,2009-10-23,,2009-10-23 00:00:00,2016-04-04,all-states,Texas
TX,AUSTIN POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,365,D,1,2009-10-23,,2009-10-23 00:00:00,2016-04-04,all-states,Texas
TX,AUSTIN POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,365,D,1,2009-10-23,,2009-10-23 00:00:00,2016-04-04,all-states,Texas
TX,AUSTIN POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,365,D,1,2009-10-23,,2009-10-23 00:00:00,2016-04-04,all-states,Texas
TX,AUSTIN POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,365,D,1,2011-06-02,,2011-06-02 00:00:00,2016-04-04,all-states,Texas
TX,AUSTIN POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,365,D,1,2011-06-02,,2011-06-02 00:00:00,2016-04-04,all-states,Texas
TX,AUSTIN POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,365,D,1,2011-06-02,,2011-06-02 00:00:00,2016-04-04,all-states,Texas
TX,AUSTIN POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,365,D,1,2011-06-02,,2011-06-02 00:00:00,2016-04-04,all-states,Texas
TX,AUSTIN POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,365,D,1,2010-11-16,,2010-11-16 00:00:00,2016-04-04,all-states,Texas
TX,AUSTIN POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,365,D,1,2010-11-16,,2010-11-16 00:00:00,2016-04-04,all-states,Texas
TX,AUSTIN POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,365,D,1,2010-11-16,,2010-11-16 00:00:00,2016-04-04,all-states,Texas
TX,AUSTIN POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,365,D,1,2012-03-20,,2012-03-20 00:00:00,2016-04-04,all-states,Texas
TX,AUSTIN POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,365,D,1,2012-03-20,,2012-03-20 00:00:00,2016-04-04,all-states,Texas
TX,AUSTIN POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,365,D,1,2012-03-20,,2012-03-20 00:00:00,2016-04-04,all-states,Texas
TX,AUSTIN POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,365,D,1,2012-03-20,,2012-03-20 00:00:00,2016-04-04,all-states,Texas
TX,AUSTIN POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,365,D,1,2012-03-20,,2012-03-20 00:00:00,2016-04-04,all-states,Texas
TX,AUSTIN POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,365,D,1,2012-03-20,,2012-03-20 00:00:00,2016-04-04,all-states,Texas
TX,AUSTIN POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,365,D,1,2012-03-20,,2012-03-20 00:00:00,2016-04-04,all-states,Texas
TX,AUSTIN POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,365,D,1,2012-03-20,,2012-03-20 00:00:00,2016-04-04,all-states,Texas
TX,AUSTIN POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,365,D,1,2012-03-20,,2012-03-20 00:00:00,2016-04-04,all-states,Texas
TX,AUSTIN POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,365,D,1,2012-03-20,,2012-03-20 00:00:00,2016-04-04,all-states,Texas
TX,AUSTIN POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,365,D,1,2012-03-20,,2012-03-20 00:00:00,2016-04-04,all-states,Texas
TX,AUSTIN POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,365,D,1,2012-03-20,,2012-03-20 00:00:00,2016-04-04,all-states,Texas
TX,AUSTIN POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,365,D,1,2012-03-20,,2012-03-20 00:00:00,2016-04-04,all-states,Texas
TX,AUSTIN POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,365,D,1,2012-03-20,,2012-03-20 00:00:00,2016-04-04,all-states,Texas
TX,AUSTIN POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,365,D,1,2012-03-20,,2012-03-20 00:00:00,2016-04-04,all-states,Texas
TX,AUSTIN POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,365,D,1,2012-03-20,,2012-03-20 00:00:00,2016-04-04,all-states,Texas
TX,AUSTIN POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,365,D,1,2012-03-20,,2012-03-20 00:00:00,2016-04-04,all-states,Texas
TX,AUSTIN POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,365,D,1,2012-03-20,,2012-03-20 00:00:00,2016-04-04,all-states,Texas
TX,AUSTIN POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,365,D,1,2012-03-20,,2012-03-20 00:00:00,2016-04-04,all-states,Texas
TX,AUSTIN POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,365,D,1,2012-03-20,,2012-03-20 00:00:00,2016-04-04,all-states,Texas
TX,AUSTIN POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,365,D,1,2012-03-20,,2012-03-20 00:00:00,2016-04-04,all-states,Texas
TX,AUSTIN POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,365,D,1,2012-03-20,,2012-03-20 00:00:00,2016-04-04,all-states,Texas
TX,AUSTIN POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,365,D,1,2012-03-20,,2012-03-20 00:00:00,2016-04-04,all-states,Texas
TX,AUSTIN POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,365,D,1,2012-03-20,,2012-03-20 00:00:00,2016-04-04,all-states,Texas
TX,AUSTIN POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,365,D,1,2012-03-20,,2012-03-20 00:00:00,2016-04-04,all-states,Texas
TX,AUSTIN POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,365,D,1,2012-03-20,,2012-03-20 00:00:00,2016-04-04,all-states,Texas
TX,AUSTIN POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,365,D,1,2012-03-20,,2012-03-20 00:00:00,2016-04-04,all-states,Texas
TX,AUSTIN POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,365,D,1,2012-03-20,,2012-03-20 00:00:00,2016-04-04,all-states,Texas
TX,AUSTIN POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,365,D,1,2012-03-20,,2012-03-20 00:00:00,2016-04-04,all-states,Texas
TX,AUSTIN POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,365,D,1,2012-03-20,,2012-03-20 00:00:00,2016-04-04,all-states,Texas
TX,AUSTIN POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,365,D,1,2012-03-20,,2012-03-20 00:00:00,2016-04-04,all-states,Texas
TX,AUSTIN POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,365,D,1,2012-03-20,,2012-03-20 00:00:00,2016-04-04,all-states,Texas
TX,AUSTIN POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,365,D,1,2012-03-20,,2012-03-20 00:00:00,2016-04-04,all-states,Texas
TX,AUSTIN POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,365,D,1,2012-03-20,,2012-03-20 00:00:00,2016-04-04,all-states,Texas
TX,AUSTIN POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,365,D,1,2012-03-20,,2012-03-20 00:00:00,2016-04-04,all-states,Texas
TX,AUSTIN POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,365,D,1,2012-03-20,,2012-03-20 00:00:00,2016-04-04,all-states,Texas
TX,AUSTIN POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,365,D,1,2012-03-20,,2012-03-20 00:00:00,2016-04-04,all-states,Texas
TX,AUSTIN POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,365,D,1,2012-03-20,,2012-03-20 00:00:00,2016-04-04,all-states,Texas
TX,AUSTIN POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,365,D,1,2012-03-20,,2012-03-20 00:00:00,2016-04-04,all-states,Texas
TX,AUSTIN POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,365,D,1,2012-03-20,,2012-03-20 00:00:00,2016-04-04,all-states,Texas
TX,AUSTIN POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,365,D,1,2012-03-20,,2012-03-20 00:00:00,2016-04-04,all-states,Texas
TX,AUSTIN POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,365,D,1,2012-03-20,,2012-03-20 00:00:00,2016-04-04,all-states,Texas
TX,AUSTIN POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,365,D,1,2012-03-20,,2012-03-20 00:00:00,2016-04-04,all-states,Texas
TX,AUSTIN POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,365,D,1,2012-03-20,,2012-03-20 00:00:00,2016-04-04,all-states,Texas
TX,AUSTIN POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,365,D,1,2012-03-20,,2012-03-20 00:00:00,2016-04-04,all-states,Texas
TX,AUSTIN POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,365,D,1,2012-03-20,,2012-03-20 00:00:00,2016-04-04,all-states,Texas
TX,AUSTIN POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,365,D,1,2012-03-20,,2012-03-20 00:00:00,2016-04-04,all-states,Texas
TX,AUSTIN POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,365,D,1,2012-03-20,,2012-03-20 00:00:00,2016-04-04,all-states,Texas
TX,AUSTIN POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,365,D,1,2012-03-20,,2012-03-20 00:00:00,2016-04-04,all-states,Texas
TX,AUSTIN POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,365,D,1,2012-03-20,,2012-03-20 00:00:00,2016-04-04,all-states,Texas
TX,AUSTIN POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,365,D,1,2012-03-20,,2012-03-20 00:00:00,2016-04-04,all-states,Texas
TX,AUSTIN POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,365,D,1,2012-03-20,,2012-03-20 00:00:00,2016-04-04,all-states,Texas
TX,AUSTIN POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,365,D,1,2012-03-20,,2012-03-20 00:00:00,2016-04-04,all-states,Texas
TX,AUSTIN POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,365,D,1,2012-03-20,,2012-03-20 00:00:00,2016-04-04,all-states,Texas
TX,AUSTIN POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,365,D,1,2012-03-20,,2012-03-20 00:00:00,2016-04-04,all-states,Texas
TX,AUSTIN POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,365,D,1,2012-03-20,,2012-03-20 00:00:00,2016-04-04,all-states,Texas
TX,AUSTIN POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,365,D,1,2012-03-20,,2012-03-20 00:00:00,2016-04-04,all-states,Texas
TX,AUSTIN POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,365,D,1,2012-03-20,,2012-03-20 00:00:00,2016-04-04,all-states,Texas
TX,AUSTIN POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,365,D,1,2012-03-20,,2012-03-20 00:00:00,2016-04-04,all-states,Texas
TX,AUSTIN POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,365,D,1,2012-03-20,,2012-03-20 00:00:00,2016-04-04,all-states,Texas
TX,AUSTIN POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,365,D,1,2012-03-20,,2012-03-20 00:00:00,2016-04-04,all-states,Texas
TX,AUSTIN POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,365,D,1,2012-03-20,,2012-03-20 00:00:00,2016-04-04,all-states,Texas
TX,AUSTIN POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,365,D,1,2012-03-20,,2012-03-20 00:00:00,2016-04-04,all-states,Texas
TX,AUSTIN POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,365,D,1,2012-03-20,,2012-03-20 00:00:00,2016-04-04,all-states,Texas
TX,AUSTIN POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,365,D,1,2012-03-20,,2012-03-20 00:00:00,2016-04-04,all-states,Texas
TX,AUSTIN POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,365,D,1,2012-03-20,,2012-03-20 00:00:00,2016-04-04,all-states,Texas
TX,AUSTIN POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,365,D,1,2012-03-20,,2012-03-20 00:00:00,2016-04-04,all-states,Texas
TX,AUSTIN POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,365,D,1,2012-03-20,,2012-03-20 00:00:00,2016-04-04,all-states,Texas
TX,AUSTIN POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,365,D,1,2012-03-20,,2012-03-20 00:00:00,2016-04-04,all-states,Texas
TX,AUSTIN POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,365,D,1,2012-03-20,,2012-03-20 00:00:00,2016-04-04,all-states,Texas
TX,AUSTIN POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,365,D,1,2012-03-20,,2012-03-20 00:00:00,2016-04-04,all-states,Texas
TX,AUSTIN POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,365,D,1,2012-03-20,,2012-03-20 00:00:00,2016-04-04,all-states,Texas
TX,AUSTIN POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,365,D,1,2012-03-20,,2012-03-20 00:00:00,2016-04-04,all-states,Texas
TX,AUSTIN POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,365,D,1,2012-03-20,,2012-03-20 00:00:00,2016-04-04,all-states,Texas
TX,AUSTIN POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,365,D,1,2012-03-20,,2012-03-20 00:00:00,2016-04-04,all-states,Texas
TX,AUSTIN POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,365,D,1,2012-03-20,,2012-03-20 00:00:00,2016-04-04,all-states,Texas
TX,AUSTIN POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,365,D,1,2012-03-20,,2012-03-20 00:00:00,2016-04-04,all-states,Texas
TX,AUSTIN POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,365,D,1,2012-03-20,,2012-03-20 00:00:00,2016-04-04,all-states,Texas
TX,AUSTIN POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,365,D,1,2012-03-20,,2012-03-20 00:00:00,2016-04-04,all-states,Texas
TX,AUSTIN POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,365,D,1,2012-03-20,,2012-03-20 00:00:00,2016-04-04,all-states,Texas
TX,AUSTIN POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,365,D,1,2012-03-20,,2012-03-20 00:00:00,2016-04-04,all-states,Texas
TX,AUSTIN POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,365,D,1,2012-03-20,,2012-03-20 00:00:00,2016-04-04,all-states,Texas
TX,AUSTIN POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,365,D,1,2012-03-20,,2012-03-20 00:00:00,2016-04-04,all-states,Texas
TX,AUSTIN POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,365,D,1,2012-03-20,,2012-03-20 00:00:00,2016-04-04,all-states,Texas
TX,AUSTIN POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,365,D,1,2012-03-20,,2012-03-20 00:00:00,2016-04-04,all-states,Texas
TX,AUSTIN POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,365,D,1,2012-03-20,,2012-03-20 00:00:00,2016-04-04,all-states,Texas
TX,AUSTIN POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,365,D,1,2012-03-20,,2012-03-20 00:00:00,2016-04-04,all-states,Texas
TX,AUSTIN POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,365,D,1,2012-03-20,,2012-03-20 00:00:00,2016-04-04,all-states,Texas
TX,AUSTIN POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,365,D,1,2012-03-20,,2012-03-20 00:00:00,2016-04-04,all-states,Texas
TX,AUSTIN POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,365,D,1,2012-03-20,,2012-03-20 00:00:00,2016-04-04,all-states,Texas
TX,AUSTIN POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,365,D,1,2012-03-20,,2012-03-20 00:00:00,2016-04-04,all-states,Texas
TX,AUSTIN POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,365,D,1,2012-03-20,,2012-03-20 00:00:00,2016-04-04,all-states,Texas
TX,AUSTIN POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,365,D,1,2012-03-20,,2012-03-20 00:00:00,2016-04-04,all-states,Texas
TX,AUSTIN POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,365,D,1,2012-03-20,,2012-03-20 00:00:00,2016-04-04,all-states,Texas
TX,AUSTIN POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,365,D,1,2012-03-20,,2012-03-20 00:00:00,2016-04-04,all-states,Texas
TX,AUSTIN POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,365,D,1,2012-03-20,,2012-03-20 00:00:00,2016-04-04,all-states,Texas
TX,AUSTIN POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,365,D,1,2012-03-20,,2012-03-20 00:00:00,2016-04-04,all-states,Texas
TX,AUSTIN POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,365,D,1,2012-03-20,,2012-03-20 00:00:00,2016-04-04,all-states,Texas
TX,AUSTIN POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,365,D,1,2012-03-20,,2012-03-20 00:00:00,2016-04-04,all-states,Texas
TX,AUSTIN POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,365,D,1,2012-03-20,,2012-03-20 00:00:00,2016-04-04,all-states,Texas
TX,AUSTIN POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,365,D,1,2012-03-20,,2012-03-20 00:00:00,2016-04-04,all-states,Texas
TX,AUSTIN POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,365,D,1,2012-03-20,,2012-03-20 00:00:00,2016-04-04,all-states,Texas
